,Date From,Date To,Name,Venue,Country,Category,Calendar,Class,EMail,Website
122,3/16/2025,3/16/2025,Trofeo Alfredo Binda - Comune di Cittiglio,,ITA,WE,MON,1.WWT,mario.minervino@email.it; mario.minervino@trofeobinda.com,www.cyclingsportpromotion.com
130,3/22/2025,3/22/2025,Milano-Sanremo Donne,,ITA,WE,MON,1.WWT,giusy.virelli@rcs.it,
131,3/22/2025,3/22/2025,Milano-Sanremo,,ITA,ME,UWT,1.UWT,stefano.allocchio@rcs.it,www.milanosanremo.it
140,3/24/2025,3/30/2025,Volta Ciclista a Catalunya,,ESP,ME,UWT,2.UWT,volta@voltacatalunya.cat,www.voltacatalunya.cat
142,3/26/2025,3/26/2025,Classic Brugge-De Panne,,BEL,ME,UWT,1.UWT,secretariaat@kvcps.be,www.bruggedepanneclassic.be
146,3/27/2025,3/27/2025,Classic Brugge-De Panne,,BEL,WE,MON,1.WWT,secretariaat@kvcps.be,www.bruggedepanneclassic.be
147,3/28/2025,3/28/2025,E3 Saxo Classic,,BEL,ME,UWT,1.UWT,info@e3saxoclassic.be,www.e3saxoclassic.be
152,3/30/2025,3/30/2025,Gent-Wevelgem In Flanders Fields,,BEL,WE,MON,1.WWT,maja.leye@flandersclassics.be,www.gent-wevelgem.be
154,3/30/2025,3/30/2025,Gent-Wevelgem in Flanders Fields,,BEL,ME,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.gent-wevelgem.be
156,4/2/2025,4/2/2025,Dwars door Vlaanderen - A travers la Flandre,,BEL,ME,UWT,1.UWT,info@ddvl.eu,www.ddvl.eu
168,4/6/2025,4/6/2025,Ronde van Vlaanderen,,BEL,ME,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.rondevanvlaanderen.be
169,4/6/2025,4/6/2025,Ronde van Vlaanderen,,BEL,WE,MON,1.WWT,maja.leye@flandersclassics.be,www.rondevanvlaanderen.be
172,4/7/2025,4/12/2025,Itzulia Basque Country,,ESP,ME,UWT,2.UWT,admon@oceta.eus,www.itzulia.eus
183,4/12/2025,4/12/2025,Paris-Roubaix Femmes avec Zwift,,FRA,WE,MON,1.WWT,tgouvenou@aso.fr,www.letour.fr
186,4/13/2025,4/13/2025,Paris-Roubaix,,FRA,ME,UWT,1.UWT,tgouvenou@aso.fr,www.letour.fr
205,4/20/2025,4/20/2025,Amstel Gold Race,,NED,ME,UWT,1.UWT,info@amstelgoldrace.nl,www.amstelgoldrace.nl
207,4/20/2025,4/20/2025,Amstel Gold Race Ladies Edition,,NED,WE,MON,1.WWT,info@amstelgoldrace.nl,www.amstelgoldrace.com
213,4/23/2025,4/23/2025,La Flèche Wallonne,,BEL,ME,UWT,1.UWT,tgouvenou@aso.fr,www.letour.fr
214,4/23/2025,4/23/2025,La Flèche Wallonne Féminine,,BEL,WE,MON,1.WWT,fernandlambertrlvb@hotmail.com,http://www.letour.fr/la-fleche-wallonne-femme/
232,4/27/2025,4/27/2025,Liège-Bastogne-Liège Femmes,,BEL,WE,MON,1.WWT,fernandlambertrlvb@hotmail.com,http://www.liege-bastogne-liege-femmes.com/
234,4/27/2025,4/27/2025,Liège-Bastogne-Liège,,BEL,ME,UWT,1.UWT,tgouvenou@aso.fr,www.letour.fr
240,4/29/2025,5/4/2025,Tour de Romandie,,SUI,ME,UWT,2.UWT,info@tourderomandie.ch,www.tourderomandie.ch
245,5/1/2025,5/1/2025,Eschborn-Frankfurt,,GER,ME,UWT,1.UWT,mpietsch@aso-germany.de,www.eschborn-frankfurt.de
263,5/4/2025,5/10/2025,Vuelta España Femenina by Carrefour.es,,ESP,WE,MON,2.WWT,lavueltafemenina@unipublic.es,lavueltafemenina.es
271,5/9/2025,6/1/2025,Giro d'Italia,,ITA,ME,UWT,2.UWT,stefano.allocchio@rcs.it,www.giroditalia.it
293,5/16/2025,5/18/2025,Itzulia Women,,ESP,WE,MON,2.WWT,admon@oceta.eus,
309,5/22/2025,5/25/2025,Vuelta a Burgos Feminas,,ESP,WE,MON,2.WWT,vueltaburgos@diputaciondeburgos.es,www.vueltaburgos.com/feminas
349,6/5/2025,6/8/2025,Tour of Britain Women,,GBR,WE,MON,2.WWT,info@britishcyclingevents.org.uk,britishcycling.org.uk
362,6/8/2025,6/15/2025,Critérium du Dauphiné,,FRA,ME,UWT,2.UWT,tgouvenou@aso.fr,www.letour.fr
368,6/12/2025,6/15/2025,Tour de Suisse Women,,SUI,WE,MON,2.WWT,info@tds.ch,www.tds.ch
380,6/15/2025,6/22/2025,Tour de Suisse,,SUI,ME,UWT,2.UWT,info@tds.ch,www.tds.ch
398,6/21/2025,6/21/2025,Copenhagen Sprint,,DEN,WE,MON,1.WWT,jesper.tikioeb@cyklingdanmark.dk,copenhagensprint.com
409,6/22/2025,6/22/2025,Copenhagen Sprint,,DEN,ME,UWT,1.UWT,jesper.tikioeb@cyklingdanmark.dk,copenhagensprint.com
469,7/5/2025,7/27/2025,Tour de France,,FRA,ME,UWT,2.UWT,tgouvenou@aso.fr,www.letour.fr
480,7/6/2025,7/13/2025,Giro d'Italia Women,,ITA,WE,MON,2.WWT,giusy.virelli@rcs.it,
516,7/26/2025,8/3/2025,Tour de France Femmes avec Zwift,,FRA,WE,MON,2.WWT,tgouvenou@aso.fr,letourfemmes.fr
529,8/2/2025,8/2/2025,Donostia San Sebastian Klasikoa,,ESP,ME,UWT,1.UWT,admon@oceta.eus,www.klasikoa.eus
539,8/4/2025,8/10/2025,Tour de Pologne,,POL,ME,UWT,2.UWT,sekretariat@langteam.com.pl,www.tourdepologne.pl
560,8/15/2025,8/17/2025,Tour de Romandie Féminin,,SUI,WE,MON,2.WWT,info@tourderomandie.ch,www.tdrfeminin.ch
565,8/17/2025,8/17/2025,ADAC Cyclassics,,GER,ME,UWT,1.UWT,mpietsch@aso-germany.de,www.cyclassics-hamburg.de
570,8/20/2025,8/24/2025,Renewi Tour,,BEL,ME,UWT,2.UWT,info@golazo.com,www.renewitour.com
581,8/23/2025,9/14/2025,La Vuelta Ciclista a España,,ESP,ME,UWT,2.UWT,info@unipublic.es,lavuelta.com
594,8/30/2025,8/30/2025,Classic Lorient Agglomération - CERATIZIT,,FRA,WE,MON,1.WWT,damienchemille@hotmail.com,www.pco.bzh
604,8/31/2025,8/31/2025,Bretagne Classic - Ouest-France,,FRA,ME,UWT,1.UWT,damienchemille@hotmail.com; tranvaux.jean-yves@wanadoo.fr,www.pco.bzh
607,9/2/2025,9/7/2025,Simac Ladies Tour,,NED,WE,MON,2.WWT,thijs.rondhuis@courage-events.nl,simacladiestour.nl
627,9/12/2025,9/12/2025,Grand Prix Cycliste de Québec,,CAN,ME,UWT,1.UWT,info@gpcqm.ca; jlimare@gpcqm.ca,www.gpcqm.ca
634,9/14/2025,9/14/2025,Grand Prix Cycliste de Montréal,,CAN,ME,UWT,1.UWT,info@gpcqm.ca; jlimare@gpcqm.ca,www.gpcqm.ca
655,9/21/2025,9/28/2025,	UCI Road World Championships,Kigali,RWA,,MON,CM,info@ucikigali2025.rw,ucikigali2025.rw
688,10/11/2025,10/11/2025,Il Lombardia,,ITA,ME,UWT,1.UWT,stefano.allocchio@rcs.it,www.illombardia.it
696,10/14/2025,10/16/2025,Tour of Chongming Island,,CHN,WE,MON,2.WWT,admin@chncycling.com; shcmhds@vip.163.com,
697,10/14/2025,10/19/2025,Gree-Tour of Guangxi,,CHN,ME,UWT,2.UWT,yinyushan@wanda.cn,http://www.tourofguangxi.com.cn
706,10/19/2025,10/19/2025,Tour of Guangxi,,CHN,WE,MON,1.WWT,yinyushan@wanda.cn;togwmen@163.com,
