,Date From,Date To,Name,Venue,Country,Category,Calendar,Class,EMail,Website
19910,19.04.2023,19.04.2023,La Flèche Wallonne,,BEL,ME,UWT,1.UWT,tgouvenou@aso.fr,www.letour.fr
19919,23.04.2023,23.04.2023,Liège-Bastogne-Liège,,BEL,ME,UWT,1.UWT,tgouvenou@aso.fr,www.letour.fr
19920,23.04.2023,23.04.2023,Liège-Bastogne-Liège Femmes,,BEL,WE,MON,1.WWT,fernandlambertrlvb@hotmail.com,http://www.liege-bastogne-liege-femmes.com/
19925,25.04.2023,30.04.2023,Tour de Romandie,,SUI,ME,UWT,2.UWT,info@tourderomandie.ch,www.tourderomandie.ch
19939,01.05.2023,01.05.2023,Eschborn-Frankfurt,,GER,ME,UWT,1.UWT,office@gfr-cycling.de,www.eschborn-frankfurt.de/en/home/
19943,01.05.2023,07.05.2023,La Vuelta Femenina,,ESP,WE,MON,2.WWT,lavueltafemenina@unipublic.es,lavuelta.com/Madridchallenge
19955,06.05.2023,28.05.2023,Giro d'Italia,,ITA,ME,UWT,2.UWT,stefano.allocchio@rcs.it,www.giroditalia.it
19969,12.05.2023,14.05.2023,Itzulia Women,,ESP,WE,MON,2.WWT,admon@oceta.eus,
19990,18.05.2023,21.05.2023,Vuelta a Burgos Feminas,,ESP,WE,MON,2.WWT,vueltaburgos@diputaciondeburgos.es,www.vueltaburgos.com/feminas
20015,26.05.2023,28.05.2023,RideLondon Classique,,GBR,WE,MON,2.WWT,womens.classique@londonmarathonevents.co.uk,www.ridelondon.co.uk
20053,04.06.2023,11.06.2023,Critérium du Dauphiné,,FRA,ME,UWT,2.UWT,tgouvenou@aso.fr,www.letour.fr
20055,06.06.2023,11.06.2023,Women's Tour,,GBR,WE,MON,2.WWT,bennettm@thetour.co.uk,www.womenstour.co.uk
20078,11.06.2023,18.06.2023,Tour de Suisse,,SUI,ME,UWT,2.UWT,info@tds.ch,www.tds.ch
20145,30.06.2023,09.07.2023,Giro d'Italia Donne,,ITA,WE,MON,2.WWT,direzionegenerale@starlightssd.it,
20147,01.07.2023,23.07.2023,Tour de France,,FRA,ME,UWT,2.UWT,tgouvenou@aso.fr,www.letour.fr
20189,23.07.2023,30.07.2023,Tour de France Femmes avec Zwift,,FRA,WE,MON,2.WWT,tgouvenou@aso.fr,letourfemmes.fr
20210,29.07.2023,29.07.2023,Donostia San Sebastian Klasikoa,,ESP,ME,UWT,1.UWT,admon@oceta.eus,www.klasikoa.eus
20211,29.07.2023,04.08.2023,Tour de Pologne,,POL,ME,UWT,2.UWT,sekretariat@langteam.com.pl,www.tourdepologne.pl
20233,05.08.2023,13.08.2023,	2023 UCI Cycling World Championships - Road,"Glasgow and across Scotland, United Kingdom/GBR",GBR,,MON,CM,hello2023@cyclingworldchamps.com,	cyclingworldchamps.com
20272,20.08.2023,20.08.2023,BEMER Cyclassics,,GER,ME,UWT,1.UWT,oliver.schiek@ironman.com,www.cyclassics-hamburg.de
20275,22.08.2023,27.08.2023,Tour of Scandinavia,,NOR,WE,MON,2.WWT,ael@eventrix.no,www.ladiestour.no
20276,23.08.2023,27.08.2023,Benelux Tour,,---,ME,UWT,2.UWT,info@golazo.com,www.beneluxtour.eu
20286,26.08.2023,17.09.2023,La Vuelta Ciclista a España,,ESP,ME,UWT,2.UWT,info@unipublic.es,lavuelta.com
20300,02.09.2023,02.09.2023,Classic Lorient Agglomération - Trophée CERATIZIT,,FRA,WE,MON,1.WWT,damienchemille@hotmail.com,www.pco.bzh
20307,03.09.2023,03.09.2023,Bretagne Classic - Ouest-France,,FRA,ME,UWT,1.UWT,damienchemille@hotmail.com,www.pco.bzh
20311,05.09.2023,10.09.2023,Simac Ladies Tour,,NED,WE,MON,2.WWT,thijs.rondhuis@gmail.com,www.ladiestour.nl
20315,08.09.2023,08.09.2023,Grand Prix Cycliste de Québec,,CAN,ME,UWT,1.UWT,info@gpcqm.ca; jlimare@gpcqm.ca,www.gpcqm.ca
20323,10.09.2023,10.09.2023,Grand Prix Cycliste de Montréal,,CAN,ME,UWT,1.UWT,info@gpcqm.ca; jlimare@gpcqm.ca,www.gpcqm.ca
20336,15.09.2023,17.09.2023,Tour de Romandie Féminin,,SUI,WE,MON,2.WWT,info@tourderomandie.ch,www.tdrfeminin.ch
20385,07.10.2023,07.10.2023,Il Lombardia,,ITA,ME,UWT,1.UWT,stefano.allocchio@rcs.it,www.illombardia.it
20392,12.10.2023,14.10.2023,Tour of Chongming Island,,CHN,WE,MON,2.WWT,admin@chncycling.com; shcmhds@vip.163.com,
20393,12.10.2023,17.10.2023,Gree-Tour of Guangxi,,CHN,ME,UWT,2.UWT,yinyushan@wanda.cn,http://www.tourofguangxi.com.cn
20403,17.10.2023,17.10.2023,Tour of Guangxi,,CHN,WE,MON,1.WWT,yinyushan@wanda.cn,
